,name,email
379,Crescent Tech Limited,customercare@crescent.co.ke
380,Crescent Tech Limited,customercare@crescent.co.ke
341,DIGITAL WORLD PRODIGY LIMITED,dlimited09@gmail.com
342,DIGITAL WORLD PRODIGY LIMITED,dlimited09@gmail.com
343,The Copy Cat Limited,tenders@copycatgroup.com
344,Encapsulated East Africa Limited,lilian.adhiambo@encapsulatedafrica.com
345,BrightPoint Enterprises Ltd,info@brightpointenterprises.co.ke
346,Hiari Solutions Ltd,info@hiarisolutions.org
347,Hiari Solutions Ltd,info@hiarisolutions.org
348,Encapsulated East Africa Limited,lilian.adhiambo@encapsulatedafrica.com
349,EARTHCARE SERVICES LIMITED,info@earthcare.or.ke
350,CENDAH LIMITED,info@cendahltd.co.ke
351,CENDAH LIMITED,info@cendahltd.co.ke
352,CENDAH LIMITED,info@cendahltd.co.ke
353,Legend Power Systems Limited,D.Jabuya@vectorinternational.com
354,Encapsulated East Africa Limited,lilian.adhiambo@encapsulatedafrica.com
355,Encapsulated East Africa Limited,lilian.adhiambo@encapsulatedafrica.com
356,EARTHCARE SERVICES LIMITED,info@earthcare.or.ke
357,EARTHCARE SERVICES LIMITED,info@earthcare.or.ke
358,ASBEN LIMITED,parthia23@gmail.com
359,ZERANI GROUP LIMITED,frankmiki@gmail.com
360,Com Twenty One Limited,info@com21.co.ke
321,Suvence Technologies Limited,info@suvence.com
322,Konvergenz Network Solutions Limited,info@kns.co.ke
323,Konvergenz Network Solutions Limited,info@kns.co.ke
324,Appkings Solutions Limited,info@appkings.co.ke
325,Appkings Solutions Limited,info@appkings.co.ke
326,Appkings Solutions Limited,info@appkings.co.ke
327,MIFANIS VIBRANT GENERAL SUPPLIES,mifanisvibrant2022@gmail.com
328,Technobiz Businesss Solutions,evans@technobizsolution.com
329,Mazurimazuri Technologies Limted,info@mazurimazuri.com
330,The Copy Cat Limited,tenders@copycatgroup.com
331,Panek Investments Co,info@panekinvestments.co.ke
332,Attain Enterprise Solutions Ltd,admin@attain-es.com
333,MILLENIA LIMITED,info@millenia.co.ke
334,DATAMAX CONSULTANCY LIMITED,shamirw@datamax-ke.com
335,MILIKI DEVELOPMENT COMPANY LIMITED,info@milikidevelopment.co.ke
336,Mazurimazuri Technologies Limted,info@mazurimazuri.com
337,Affordable Computer Services (K) Limited,acsgroupke@acskenya.com
338,SENAR TECHNOLOGIES LTD,sales@senartech.com
339,SOFT GEAR TECHNOLOGIES LTD,info@softgear.co.ke
340,DIGITAL WORLD PRODIGY LIMITED,dlimited09@gmail.com
301,Kenya Education Network,info@kenet.or.ke
302,Xtranet Communications Ltd,info@xtranet.co.ke
303,Netplatoon Ventures Limited,info@netplatoon.com
304,NEXT TECHNOLOGIES LIMITED,info@next.co.ke
305,JENETWORKS VENTURES LIMITED,info@jenetworks.co.ke
306,Borasoft Limited,info@borasoft.co.ke
307,Buruj Enterprises limited,buruj1375@gmail.com
308,Buruj Enterprises limited,buruj1375@gmail.com
309,Buruj Enterprises limited,buruj1375@gmail.com
310,Techbiz Infotech Limited,khadijaha@techbizinfotech.com
311,RADIANT SYSTEMS LIMITED,info@radiantsystems.co.ke
312,RADIANT SYSTEMS LIMITED,info@radiantsystems.co.ke
313,Netplatoon Ventures Limited,info@netplatoon.com
314,Digify Solutions Limited,Info@digify.co.ke
315,FLEXWORLD ONLINE COMPANY LIMITED,info@flexworld.co.ke
316,MOWENS AGENCIES LIMITED,MOWENSPRINT@GMAIL.COM
317,FUTURESOFT TECHNOLOGIES LIMITED,info@futuresoft.co.ke
318,Adrian Kenya Limited,info@adriankenya.com
319,Adrian Kenya Limited,info@adriankenya.com
320,Adrian Kenya Limited,info@adriankenya.com
281,Nextgen Networks Limited,info@nextgenke.com
282,Tritel Technologies Limited,info@tritel.co.ke
283,Tritel Technologies Limited,info@tritel.co.ke
284,BLOCKCHAIN AFRICA LTD,info@blockchainafrica.ke
285,AUDIOVISUAL COLLABORATION TECHNOLOGIES LIMITED,admin@act.co.ke
286,NEXT TECHNOLOGIES LIMITED,info@next.co.ke
287,Ninety Merchants Limited,ninetymerchantsltd@gmail.com
288,Tetranet Services Limited,info@tetranet.co.ke
289,Synchronized Technologies Ltd,info@synchcom.co.ke
290,Techmate Solutions,gerald@techmatekenya.com
291,Attain Enterprise Solutions Ltd,admin@attain-es.com
292,ATLANCIS TECHNOLOGIES LIMITED,info@atlancis.com
293,Dynasoft Business Solutions Limited,sales@dynasoft.co.ke
294,Safcom Technologies Limited,info@safcom.co.ke
295,Safcom Technologies Limited,info@safcom.co.ke
296,Safcom Technologies Limited,info@safcom.co.ke
297,FLIR SYSTEMS LTD,info@flirsystems.co.ke
298,Kenya Education Network,info@kenet.or.ke
299,TECHLINK SYSTEMS LIMITED,info@techlink-systems.co.ke
300,Lapin Solutions Limited,info@lapinsolutions.co.ke
261,Dorsa Enterprises Limited,dorsaenterprises@gmail.com
262,Eclectics International Limited,admin@eclectics.io
263,Evail Limited,info@evail.com
264,Velocity Technologies Ltd,info@velocitytech.co.ke
265,POTESTAS TECHNOLOGIES LIMITED,fmasila@potestastechnologies.net
266,Com Twenty One Limited,info@com21.co.ke
267,MASSATECH LIMITED,info@massatech.com
268,SWIFTCOINS MERCHANTS LIMITED,info@swiftcoins.co.ke
269,MONEYWEB SUPPLIES SERVICES LTD,moneyweblimited@gmail.com
270,ONFON MEDIA LIMITED,onfonmedia14@gmail.com
271,Liquid Telecommunications Kenya Limited,kenyatenders@liquidtelecom.com
272,Noorcom Network NNL Limited,admin@noorcomnetwork.co.ke
273,Noorcom Network NNL Limited,admin@noorcomnetwork.co.ke
274,SOFT GEAR TECHNOLOGIES LTD,info@softgear.co.ke
275,SOFT GEAR TECHNOLOGIES LTD,info@softgear.co.ke
276,SOFT GEAR TECHNOLOGIES LTD,info@softgear.co.ke
277,SOFT GEAR TECHNOLOGIES LTD,info@softgear.co.ke
278,AGILE CLOUD LIMITED,info@agilecloud.co.ke
279,IANSOFT TECHNOLOGIES LIMITED,lilian@iansoftltd.com
280,Crescent Tech Limited,customercare@crescent.co.ke
241,SONANT SECURITY SERVICES LIMITED,SONANTKE@GMAIL.COM
242,Professional Digital Systems Limited,info@pdslkenya.com
243,Tibyaan Enterprise Ltd,Iinfo@tibyaan.co.ke
244,Techies Kenya Limited,info@techieskenyaltd.co.ke
245,RYANTEL SYSTEMS LTD,info@ryantelsystems.com
246,Deft Technologies,management@defttech.co.ke
247,Deft Technologies,management@defttech.co.ke
248,Konvergenz Network Solutions Limited,info@kns.co.ke
249,Safcom Technologies Limited,info@safcom.co.ke
250,prime telecoms ltd,mnjeri@primetelecoms.com
251,Velocity Technologies Ltd,info@velocitytech.co.ke
252,Velocity Technologies Ltd,info@velocitytech.co.ke
253,Crescent Tech Limited,customercare@crescent.co.ke
254,THE MICROPOINT SYSEMS LTD,cornelius@micropointsystems.com
255,Dynasoft Business Solutions Limited,sales@dynasoft.co.ke
256,Dynasoft Business Solutions Limited,sales@dynasoft.co.ke
257,Quavatel Limited,info@quavatel.com
258,RENGA TECHNOLOGIES LIMITED,msw@renga.tech
259,InterIntel Technologies Limited,info@interintel.co.ke
260,JKUAT Enterprises Limited,consultancy@jkuates.jkuat.ac.ke
221,Wingustar Solutions Limited,info@wingustar.co.ke
222,SICHERN SOLUTIONS LIMITED,k.mukabi@sichern.co.ke
223,Avuity Limited,info@avuityltd.com
224,ABSIMA LIMITED,absima2019@gmail.com
225,ICT CHOICE SOLUTIONS LIMITED,ictchoiceltd@gmail.com
226,COMPUTERWAYS LIMITED,info@computerways.co.ke
227,Coseke Kenya Limited,julian.muganda@coseke.com
228,Bitwise Digital Solutions Limited,info@bitwise.co.ke
229,University of Nairobi Enterprises and Services Limited,unes@uonbi.ac.ke
230,CARREL TECHNOLOGIES,info@carreltech.com
231,MILLENIUM SOLUTIONS EAST AFRICA LIMITED,info@millenium.co.ke
232,THREECS BUSINESS SOLUTIONS LIMITED,INFO@3CSBUSINESS.CO.KE
233,UNIMAX COMPANY LIMITED,IRENE@UNIMAXLTD.CO.KE
234,IVONA SOLUTIONS LTD,ivonasolutions@gmail.com
235,Stelden East Africa Ltd,consult@stelden.com
236,TELKOM KENYA LIMITED,businessconsulting@telkom.co.ke
237,Syokinet Solutions Limited,accounts@syokinet.co.ke
238,Whitespace Technologies Limited,info@whitespacetec.com
239,MOFTA SECURITY GUARDS SERVICES LIMITED,moffatmwendwa@gmail.com
240,GRATOM BABZ SERVICES LIMITED,gtbabzservices@gmail.com
201,Chui Tech Solutions Ltd,chuitechsolutionsltd@gmail.com
202,Intellinks East Africa Ltd,info@intellinksea.com
203,COMPUTERWAYS LIMITED,info@computerways.co.ke
204,Infologix Kenya Limited,sales@infologix.co.ke
205,ANNEKAM VENTURES LIMITED,annekamven12@gmail.com
206,Growthpad Digital Media Group Limited,strategic@growthpad.co.ke
207,GREEN COM ENTERPRISE SOLUTIONS LIMITED,info@greencom.co.ke
208,AML QUEST SERVICES LTD,amlquestltd@gmail.com
209,Supersource Global Limited,Supersourcegloballtd@gmail.com
210,Jekimwa Enterprises limited,jekimwaenterprises@yahoo.com
211,Jekimwa Enterprises limited,jekimwaenterprises@yahoo.com
212,Jekimwa Enterprises limited,jekimwaenterprises@yahoo.com
213,SPACE-BAR SYSTEMS LIMITED,asmakokha@gmail.com
214,broadVision Limited,sales@broadvisionlimited.com
215,broadVision Limited,sales@broadvisionlimited.com
216,ABNO SOFTWARES INTERNATIONAL LTD,info@abnosoftwares.com
217,SPECICOM TECHNOLOGIES LIMITED,sales@specicom.co.ke
218,XRX Technologies Limited,info@xrxtechnologies.co.ke
219,ABNO SOFTWARES INTERNATIONAL LTD,info@abnosoftwares.com
220,SOFT CONSULT LIMITED,info@softconsult.co.ke
181,MILLENIUM SOLUTIONS EAST AFRICA LIMITED,info@millenium.co.ke
182,MILLENIUM SOLUTIONS EAST AFRICA LIMITED,info@millenium.co.ke
183,Futuristic Limited,info@futuristic.co.ke
184,TELEPOWER ENGINEERING COMPANY LIMITED,official.orion20@gmail.com
185,Outside The Box Africa Limited,info@otbafrica.com
186,Outside The Box Africa Limited,info@otbafrica.com
187,REMERA INVESTMENTS LIMITED,asfialimited@outlook.com
188,BACKUP INTERNATIONAL KENYA LIMITED,info@backupict.com
189,GREENSON HIGHLANDS LIMITED,info@greensonhighlandslimited.co.ke
190,Daltex Limited,DaltexLimited@gmail.com
191,Maars Technologies Ltd,maarstech@gmail.com
192,AML QUEST SERVICES LTD,amlquestltd@gmail.com
193,GIMSC SOLUTIONS LIMITED,gimsgroupco@gmail.com
194,Wingustar Solutions Limited,info@wingustar.co.ke
195,SYSTEMS REENGINEERED LTD,info@sysre.co.ke
196,Onelife Consultants Ltd,onelife@onelifeconsult.com
197,Cryptware Systems Africa Limited,cryptwaresystemsafrica@gmail.com
198,IKOMTECH SOLUTIONS LIMITED,ikoomtechsolutions@gmail.com
199,JUMBA ENGINEERING SERVICES LIMITED,jes@jesltd.co.ke
200,broadVision Limited,sales@broadvisionlimited.com
161,MZULIA INTERNATIONAL LIMITED,info@mzulia.com
162,BRISK SOLUTION COMPANY LIMITED,brenda.oloo@bsl.co.ke
163,BRISK SOLUTION COMPANY LIMITED,brenda.oloo@bsl.co.ke
164,Computech Limited,info@computechlimited.com
165,Evail Limited,info@evail.com
166,Evail Limited,info@evail.com
167,Evail Limited,info@evail.com
168,Cable Options Ltd,info@cableoptions.co.ke
169,FanisiTech Limited,Info@fanisitech.com
170,LASER INFRASTRUCTURE AND TECHNOLOGY SOLUTIONS LIMITED,info@lites.co.ke
171,Crystal Technologies Limited,info@crystaltech.co.ke
172,Crystal Technologies Limited,info@crystaltech.co.ke
173,Crystal Technologies Limited,info@crystaltech.co.ke
174,Broadband Communication Network Limited,anitamusyoka@broadcom.co.ke
175,Exveria Business Limited,Exveriabusiness@gmail.com
176,Dial Up Associates Company Limited,info@dialup.co.ke
177,Dial Up Associates Company Limited,info@dialup.co.ke
178,Techsavanna Company Limited,info@techsavanna.technology
179,Fortune Bestbuys Africa Limited,mohamed.zein2233@gmail.com
180,Boldata Systems Limited,info@boldata.co.ke
121,Skylink Networks Limited,skylinknetworksltd@gmail.com
122,NAMEIA SOLUTIONS,info@nameiasolutions.co.ke
123,Smoothtel and Data Solutions Ltd,sales@smoothtel.com
124,TRYP MERCHANTS LIMITED,AFRILINEL@GMAIL.COM
125,PricewaterhouseCoopers Limited,alice.kamau@pwc.com
126,Fireside Communications Limited,Info@fireside.co.ke
127,Smoothtel and Data Solutions Ltd,sales@smoothtel.com
128,SEACOAST VENTURES LIMITED,SEACOASTVENTURESLIMITED@GMAIL.COM
129,Ridman Enterprises Limited,radman.enterprises@gmail.com
130,POLYGON NETWORK LIMITED,POLYGONKE@GMAIL.COM
131,PERIMAX KENYA LIMITED,perimax.kenyaltd@gmail.com
132,Increate Technologies Limited,info@increatetechnologies.com
133,Tekelbei Investments Limited,tekelbeiinvestments@gmail.com
134,Cybermatics Limited,info@cybermatics.co.ke
135,Cybermatics Limited,info@cybermatics.co.ke
136,Pebble Africa Technologies Limited,info@pebbleafricatech.com
137,Pebble Africa Technologies Limited,info@pebbleafricatech.com
138,Futuristic Limited,info@futuristic.co.ke
139,Ndani Technologies Ltd,info@ndani.co.ke
140,Blackstone Group Limited,eriatmi@gmail.com
101,Microhouse Technologies Ltd,info@microhouse.co.ke
102,KONARK ELECTRICALS,info@konarkelectricals.com
103,Vessel Global Systems Inc Ltd,ngogereuben96@gmail.com
104,NEOTECH KENYA LTD,ceo@liviahealth.com
105,NEOTECH KENYA LTD,ceo@liviahealth.com
106,NEOTECH KENYA LTD,ceo@liviahealth.com
107,NEOTECH KENYA LTD,ceo@liviahealth.com
108,Kivy Systems Limited,KivySystems@protonmail.com
109,Enterprise Information Management Solutions Limited,info@eimsolutions.com
110,Enterprise Information Management Solutions Limited,info@eimsolutions.com
111,Infimind Limited,billy@infimindsolutions.com
112,NESMAJ CONTRACTORS LIMITED,nesmajcontractors@gmail.com
113,Infimind Limited,billy@infimindsolutions.com
114,Altair Retro Ltd,info@altairetro.com
115,Finkraft Fintech limited,Robert.magana@finkraft.tech
116,Konvergenz Network Solutions Limited,info@kns.co.ke
117,Konvergenz Network Solutions Limited,info@kns.co.ke
118,Skylink Networks Limited,skylinknetworksltd@gmail.com
119,Skylink Networks Limited,skylinknetworksltd@gmail.com
120,Skylink Networks Limited,skylinknetworksltd@gmail.com
81,CENTRAL ELECTRICALS INTERNATIONAL LIMITED,ken@centralelectricals.com
82,Sybyl Kenya Limited,sales.ke@sybyl.com
83,ALGEE TECHNOLOGIES LIMITED,info@algeetechnologies.co.ke
84,Tridel Investment Limited,info@tridelinvestment.co.ke
85,Dial Up Associates Company Limited,info@dialup.co.ke
86,Salaam Technology Limited,info@salaam.ke
87,Dial Up Associates Company Limited,info@dialup.co.ke
88,Shamim Investment Limited,shamiminvestment@gmail.com
89,HARNSSEN GROUP LIMITED,info@harnssengroup.com
90,CENTRIC LIMITED,WINNIE@CENTRICLTD.CO.KE
91,CENTRIC LIMITED,WINNIE@CENTRICLTD.CO.KE
92,SECURELINE TECHNOLOGIES LIMITED,elsieireri@secureline.co.ke
93,SMART PEOPLE AFRICA LIMITED,info@spa-limited.com
94,Manage IT Limited,munjal@manageitafrica.com
95,Manage IT Limited,munjal@manageitafrica.com
96,NAMEIA SOLUTIONS,info@nameiasolutions.co.ke
97,NAMEIA SOLUTIONS,info@nameiasolutions.co.ke
98,Kingsway Business Systems Limited,info@kingsway.co.ke
99,Kingsway Business Systems Limited,info@kingsway.co.ke
100,Kingsway Business Systems Limited,info@kingsway.co.ke
61,Sybyl Kenya Limited,sales.ke@sybyl.com
62,Biodex Mapping Limited,kinotid22@gmail.com
63,The Gadget Connect Limited,info@gadgetconnect.co.ke
64,Anchor technologies ltd,sales@anchortechnologies.co.ke
65,SPECICOM TECHNOLOGIES LIMITED,sales@specicom.co.ke
66,SAURUS NETWORKS LIMITED,sales@saurusnetworks.com
67,CITIKOM SYSTEMS LTD,INFO@CITIKOM.CO.KE
68,CITIKOM SYSTEMS LTD,INFO@CITIKOM.CO.KE
69,CITIKOM SYSTEMS LTD,INFO@CITIKOM.CO.KE
70,Pavicon Kenya Limited,info@pavicon.co.ke
71,HM Corporations Limited,info@hmcorporations.com
72,CARNABY HOLDINGS LIMITED,info@carnabyholdings.com
73,CARNABY HOLDINGS LIMITED,info@carnabyholdings.com
74,CARNABY HOLDINGS LIMITED,info@carnabyholdings.com
75,Kotisi Company Limited,info@kotisi.co.ke
76,Kotisi Company Limited,info@kotisi.co.ke
77,AGMOND INTERNATIONAL LIMITED,agmondltd@gmail.com
78,The Copy Cat Limited,tenders@copycatgroup.com
79,CENTRAL ELECTRICALS INTERNATIONAL LIMITED,ken@centralelectricals.com
80,CENTRAL ELECTRICALS INTERNATIONAL LIMITED,ken@centralelectricals.com
41,Servers Zone Limited,sales@serverszonelimited.co.ke
42,Geniebelt Innovators Limited,geniebeltinnovatorsltd@gmail.com
43,Brimat ventures Ltd,brimatventuresltd@gmail.com
44,Vibrant solutions,sales@vibrantsolutions.co.ke
45,KEENSELL VENTURES LIMITED,info@keensellventures.com
46,KEENSELL VENTURES LIMITED,info@keensellventures.com
47,Databit Limited,boaz@databit.net
48,GAP TECH SOLUTIONS LIMITED,info@gaptechsolutions.com
49,Liquid Telecommunications Kenya Limited,kenyatenders@liquidtelecom.com
50,Sohn and Sol Technologies Limited,contact@sohnandsol.com
51,Soliton Telmec Limited,mohamed.aden@soliton.co.ke
52,PricewaterhouseCoopers Limited,alice.kamau@pwc.com
53,Werand Limited,info@werand.co.ke
54,CYBERCK LTD,info@cyberck.co.ke
55,BRESTONE AFRICA LTD,info@brestone.co.ke
56,BRESTONE AFRICA LTD,info@brestone.co.ke
57,BRESTONE AFRICA LTD,info@brestone.co.ke
58,BRESTONE AFRICA LTD,info@brestone.co.ke
59,MS POWERMAX INTERNATIONAL LIMITED,ramah.madiba@powermax.co.ke
60,Sybyl Kenya Limited,sales.ke@sybyl.com
21,Tritel Technologies Limited,info@tritel.co.ke
22,Dawnplus Limited,sales@dawnplus.co.ke
23,BRISMAK ENTERPRISES LIMITED,BRISHINTERNATIONAL@GMAIL.COM
24,SAWA SAWA TRADERS LIMITED,SAWASAWAENTERPRISES1@GMAIL.COM
25,Biometrics Technology Limited,biometricstechnologyint@gmail.com
26,Medici Secure Services Limited,james.wafula.js@gmail.commedici
27,BRISH SOLUTIONS LIMITED,Brishsolutions@gmail.com
28,Jamii Telecommunications Limited,info@jtl.co.ke
29,ASHRON LIMITED,ashronsupplies2018@gmail.com
30,CARRUMS SOLUTIONS LIMITED,carrumsolutions@gmail.com
31,NAVHUB ENTERPRISE SOLUTIONS LTD,george@navhub.co.ke
32,Masley ventures Limited,info@masleyventures.co.ke
33,Appkings Solutions Limited,info@appkings.co.ke
34,Seelano Company Ltd,info@seelano.co
35,SECURELINE TECHNOLOGIES LIMITED,elsieireri@secureline.co.ke
36,SECURELINE TECHNOLOGIES LIMITED,elsieireri@secureline.co.ke
37,SECURELINE TECHNOLOGIES LIMITED,elsieireri@secureline.co.ke
38,ICT CHOICE SOLUTIONS LIMITED,ictchoiceltd@gmail.com
39,ICT CHOICE SOLUTIONS LIMITED,ictchoiceltd@gmail.com
40,Jamii Telecommunications Limited,info@jtl.co.ke
1,SYMPHONY TECHNOLOGIES LIMITED,belinda@symphony.co.ke
2,EUJIM SOLUTIONS LIMITED,support@eujimsolutions.co.ke
3,SABALINK TECHNOLOGIES COMPANY LIMITED,info@sabalink.co.ke
4,Teq Systems Limited,info@teq-systems.com
5,MARTENS AFRICA LIMITED,dmutinyu@yahoo.com
6,MARTENS AFRICA LIMITED,dmutinyu@yahoo.com
7,INSPIRE LUXE LIMITED,inspireluxe@gmail.com
8,INSPIRE LUXE LIMITED,inspireluxe@gmail.com
9,TECHSOURCE POINT LTD,info@techsource.co.ke
10,VISIBILITY TECHNOLOGY SERVICES LIMITED,info@visibility.co.ke
11,Strategic Infrasture Protection Global LTD,info@sipcyber.com
12,Strategic Infrasture Protection Global LTD,info@sipcyber.com
13,Sysco Connect Technology Limited,syscoconnectltd@gmail.com
14,Sysco Connect Technology Limited,syscoconnectltd@gmail.com
15,RYTTECH SERVICES LIMITED,ryttech@gmail.com
16,STIMAL OFFICE SUPPLIES LTD,STIMALOFFICE@YAHOO.COM
17,Mu Technologies - Moi University,jmosonik@mu.ac.ke
18,Megawatt Ingenieria Ltd,info@megawattlimited.com
19,PESA PRINT LIMITED,legal@davanigroup.co.ke
20,PESA PRINT LIMITED,legal@davanigroup.co.ke
421,STAGS LIMITED,omar@stagslimited.co.ke
422,ATLANCIS TECHNOLOGIES LIMITED,info@atlancis.com
423,Ingenuity Business Solutions Ltd,info@ibs.co.ke
424,Megaverse Africa Limited,Lmueni@megaverseafrica.co.ke
425,MAGAL SECURITY SYSTEMS,Jkiaoffice@magalsecurity.co.ke
426,Ecorenet Business Solutions Limited,joseph.muturi@ecorenet.co.ke
427,Digital access and advance resources engineering limited,digitalaccessadvanced@gmail.com
428,Cyfenna Company Ltd,cyfennaltd@gmail.com
429,Pegasus Biotech Ltd,edwin.onchari@pegasusbiotech.co.ke
430,Cloud Productivity Solutions Limited,info@cloudproductivity-solutions.com
431,Gnovation Ltd,box@gnovation.xyz
432,swift technologies ltd,swift.techkenya@gmail.com
433,jubilay merchants,jubilaymerchant@gmail.com
434,Giza Systems Integration Kenya Limited,violet.migot@gmail.com
435,Giza Systems Integration Kenya Limited,violet.migot@gmail.com
436,BLACKWOOD LTD,blackwoodltd@gmail.com
437,MOTECH ENTERPRISES LIMITED,motechenterpriseslimited@gmail.com
438,Citimax Technologies Limited,gkiprono@citimax.co.ke
439,Muhia Capital Investment LTD,muhiacapital@gmail.com
440,LociAfrica Limited,dwambua@lociafrica.co.ke
441,Amrex Kenya Limited,amrexkenyaltd@gmail.com
442,Amrex Kenya Limited,amrexkenyaltd@gmail.com
443,Amrex Kenya Limited,amrexkenyaltd@gmail.com
444,vintage options ltd,optionsvintage@gmail.com
445,WEST NETWORK SOLUTIONS LIMITED,info@westnetworks.co.ke
446,Frontier Optical Networks Limited,sang@fon.co.ke
447,Ezen Partners Limited,patricia.njeri@ezenfinancials.com
448,APPSPOOL BUSINESS SOLUTIONS LIMITED,JOHN.KARIUKI@APPSPOOL.CO.KE
449,Riecotel Technologies Limited,charles.jowi@riecotel.com
450,Masterspace Solutions Limited,info@masterspace.co.ke
451,Masterspace Solutions Limited,info@masterspace.co.ke
452,NAS INTERNATIONAL HOLDINGS LIMITED,info@nasinternational.co.ke
453,EGYPRO EAST AFRICA LIMITED,maged_ezzat@egypro.com
454,Geonet Technologies Ltd,accounts@geonet-tech.co.ke
455,Softcom Business Solutions Limited,info@softcom.co.ke
456,NENAVI GENERAL SUPPLIES LIMITED,sdredah@yahoo.com
457,GOBIM MERCHANTS KENYA LIMITED,GOBIM31@GMAIL.COM
458,THE PRECURSOR LIMITED,theprecusorltd2013@gmail.com
459,COPYLITE TECHNOLOGY K LTD,info@copylitekenya.com
460,THE PRECURSOR LIMITED,theprecusorltd2013@gmail.com
461,UNI-COMM TECHNOLOGIES ENTERPRISES,unicommtech@yahoo.com
462,Pensoft Systems Limited,info@pensoft.co.ke
463,Tritel Technologies Limited,info@tritel.co.ke
464,BAYFORT LIMITED,Bayfortltd@gmail.com
465,SMARTLIX INVESTMENTS LTD,smartlixinvestmentsltd@gmail.com
466,Liance International Company,mashaa324@gmail.com
467,Grant Thornton Advisory East Africa Limited,info@ke.gt.com
468,INTERMASS TECHNOLOGIES EA LTD,intermasstechnologies@gmail.com
469,Techmate Solutions,gerald@techmatekenya.com
470,MIMSTECH TRADING LIMITED,info@mimstech.co.ke
471,APPLE NETWORKING SYSTEMS LIMITED,applenetsystems@gmail.com
472,Bridhok Company Limited,bridhokcompany@gmail.com
473,Ninety Merchants Limited,ninetymerchantsltd@gmail.com
474,NETIS EAST AFRICA,s.iskander@netisgroup.net
475,PECHANT TELEC LIMITED,info@pechanttelec.co.ke
476,Tritek Consulting Ltd,info@tritek.co.ke
477,SOFTNET BUSINESS SYSTEMS LIMITED,info@softnetsystems.net
478,MFI Document Solutions Ltd,a.kiran@groupmfi.com
479,MFI Document Solutions Ltd,a.kiran@groupmfi.com
480,Masterspace Solutions Limited,info@masterspace.co.ke
481,Usercare limited,kevin.o@user-care.com
